# wav			inc			trn			ref
600.0000000000	0.7518796992	0.7485203468	0.0033593524
601.0000000000	0.7518796992	0.7484403226	0.0034393767
602.0000000000	0.7518796992	0.7483498000	0.0035298992
603.0000000000	0.7518796992	0.7482528295	0.0036268697
604.0000000000	0.7518796992	0.7481512195	0.0037284797
605.0000000000	0.7518796992	0.7480459602	0.0038337391
606.0000000000	0.7518796992	0.7479376635	0.0039420358
607.0000000000	0.7518796992	0.7478267408	0.0040529584
608.0000000000	0.7518796992	0.7477134860	0.0041662133
609.0000000000	0.7518796992	0.7475981191	0.0042815802
610.0000000000	0.7518796992	0.7474808113	0.0043988879
611.0000000000	0.7518796992	0.7473617002	0.0045179990
612.0000000000	0.7518796992	0.7472408987	0.0046388005
613.0000000000	0.7518796992	0.7471185019	0.0047611974
614.0000000000	0.7518796992	0.7469945908	0.0048851085
615.0000000000	0.7518796992	0.7468692357	0.0050104636
616.0000000000	0.7518796992	0.7467424981	0.0051372011
617.0000000000	0.7518796992	0.7466144325	0.0052652668
618.0000000000	0.7518796992	0.7464850869	0.0053946123
619.0000000000	0.7518796992	0.7463545046	0.0055251947
620.0000000000	0.7518796992	0.7462227237	0.0056569756
621.0000000000	0.7518796992	0.7460897785	0.0057899207
622.0000000000	0.7518796992	0.7459556995	0.0059239997
623.0000000000	0.7518796992	0.7458205134	0.0060591858
624.0000000000	0.7518796992	0.7456842437	0.0061954555
625.0000000000	0.7518796992	0.7455469105	0.0063327888
626.0000000000	0.7518796992	0.7454085304	0.0064711688
627.0000000000	0.7518796992	0.7452691171	0.0066105821
628.0000000000	0.7518796992	0.7451286807	0.0067510185
629.0000000000	0.7518796992	0.7449872279	0.0068924713
630.0000000000	0.7518796992	0.7448447617	0.0070349375
631.0000000000	0.7518796992	0.7447012813	0.0071784180
632.0000000000	0.7518796992	0.7445567816	0.0073229176
633.0000000000	0.7518796992	0.7444112533	0.0074684460
634.0000000000	0.7518796992	0.7442646816	0.0076150177
635.0000000000	0.7518796992	0.7441170464	0.0077626529
636.0000000000	0.7518796992	0.7439683211	0.0079113782
637.0000000000	0.7518796992	0.7438184716	0.0080612276
638.0000000000	0.7518796992	0.7436674551	0.0082122441
639.0000000000	0.7518796992	0.7435152183	0.0083644809
640.0000000000	0.7518796992	0.7433616949	0.0085180044
641.0000000000	0.7518796992	0.7432068023	0.0086728970
642.0000000000	0.7518796992	0.7430504368	0.0088292624
643.0000000000	0.7518796992	0.7428924668	0.0089872324
644.0000000000	0.7518796992	0.7427327218	0.0091469774
645.0000000000	0.7518796992	0.7425709754	0.0093087239
646.0000000000	0.7518796992	0.7424069164	0.0094727828
647.0000000000	0.7518796992	0.7422400982	0.0096396011
648.0000000000	0.7518796992	0.7420698391	0.0098098602
649.0000000000	0.7518796992	0.7418950087	0.0099846906
650.0000000000	0.7518796992	0.7417134857	0.0101662136
651.0000000000	0.7518796992	0.7415203781	0.0103593212
652.0000000000	0.7518796992	0.7412976948	0.0105820045
653.0000000000	0.7518796992	0.7407187744	0.0111609249
654.0000000000	0.7518796992	0.7403545668	0.0115251324
655.0000000000	0.7518796992	0.7400499608	0.0118297384
656.0000000000	0.7518796992	0.7397633144	0.0121163848
657.0000000000	0.7518796992	0.7394820366	0.0123976626
658.0000000000	0.7518796992	0.7391997284	0.0126799709
659.0000000000	0.7518796992	0.7389121060	0.0129675933
660.0000000000	0.7518796992	0.7386156874	0.0132640119
661.0000000000	0.7518796992	0.7383072105	0.0135724887
662.0000000000	0.7518796992	0.7379832951	0.0138964042
663.0000000000	0.7518796992	0.7376401855	0.0142395137
664.0000000000	0.7518796992	0.7372735035	0.0146061958
665.0000000000	0.7518796992	0.7368779622	0.0150017371
666.0000000000	0.7518796992	0.7364470021	0.0154326972
667.0000000000	0.7518796992	0.7359722936	0.0159074056
668.0000000000	0.7518796992	0.7354430284	0.0164366709
669.0000000000	0.7518796992	0.7348448757	0.0170348235
670.0000000000	0.7518796992	0.7341583953	0.0177213039
671.0000000000	0.7518796992	0.7333565438	0.0185231554
672.0000000000	0.7518796992	0.7324006137	0.0194790856
673.0000000000	0.7518796992	0.7312333412	0.0206463580
674.0000000000	0.7518796992	0.7297666343	0.0221130649
675.0000000000	0.7518796992	0.7278584275	0.0240212718
676.0000000000	0.7518796992	0.7252658700	0.0266138292
677.0000000000	0.7518796992	0.7215420173	0.0303376819
678.0000000000	0.7518796992	0.7157808185	0.0360988808
679.0000000000	0.7518796992	0.7058861716	0.0459935277
680.0000000000	0.7518796992	0.6859880506	0.0658916486
681.0000000000	0.7518796992	0.6339524783	0.1179272210
682.0000000000	0.7518796992	0.4178836638	0.3339960355
683.0000000000	0.7518796992	0.1192430655	0.6326366337
684.0000000000	0.7518796992	0.6328763236	0.1190033756
685.0000000000	0.7518796992	0.7127538150	0.0391258842
686.0000000000	0.7518796992	0.7312296187	0.0206500806
687.0000000000	0.7518796992	0.7373167815	0.0145629178
688.0000000000	0.7518796992	0.7396833110	0.0121963882
689.0000000000	0.7518796992	0.7406464898	0.0112332094
690.0000000000	0.7518796992	0.7410007978	0.0108789015
691.0000000000	0.7518796992	0.7410663199	0.0108133794
692.0000000000	0.7518796992	0.7409872017	0.0108924976
693.0000000000	0.7518796992	0.7408337415	0.0110459577
694.0000000000	0.7518796992	0.7406422627	0.0112374365
695.0000000000	0.7518796992	0.7404323232	0.0114473761
696.0000000000	0.7518796992	0.7402147449	0.0116649544
697.0000000000	0.7518796992	0.7399956001	0.0118840992
698.0000000000	0.7518796992	0.7397782924	0.0121014069
